3102
1	1 3	1 4	1 2	1 1	0.8657090000000001
2	1 4	1 5	1 2	1 1	0.342469
3	1 5	1 6	1 2	1 1	0.0578028
4	1 6	1 7	1 2	1 1	0.007845975
5	1 7	1 8	1 2	1 1	0.00376475
6	1 8	1 9	1 2	1 1	0.00215598
7	1 9	1 10	1 2	1 1	0.0018322199999999999
8	1 4	1 5	1 3	1 2	2.37451
9	1 5	1 6	1 3	1 2	0.2824655
10	1 6	1 7	1 3	1 2	0.02878855
11	1 7	1 8	1 3	1 2	0.0128114
12	1 8	1 9	1 3	1 2	0.00686114
13	1 9	1 10	1 3	1 2	0.005134365
14	1 10	1 11	1 3	1 2	0.00349193
15	1 5	1 7	1 3	1 1	0.376517
16	1 7	1 9	1 3	1 1	0.025673099999999997
17	1 9	1 11	1 3	1 1	0.01171705
18	1 11	1 13	1 3	1 1	0.0071059899999999995
19	1 13	1 15	1 3	1 1	0.004967815
20	1 15	1 17	1 3	1 1	0.0038735
21	1 17	1 19	1 3	1 1	0.0025897
22	1 5	1 6	1 4	1 3	2.129165
23	1 6	1 7	1 4	1 3	0.1204745
24	1 7	1 8	1 4	1 3	0.04397245
25	1 8	1 9	1 4	1 3	0.0217225
26	1 9	1 10	1 4	1 3	0.013424450000000001
27	1 10	1 11	1 4	1 3	0.008405875
28	1 11	1 12	1 4	1 3	0.006350685
29	1 6	1 8	1 4	1 2	0.20647949999999998
30	1 8	1 10	1 4	1 2	0.0469391
31	1 10	1 12	1 4	1 2	0.020903150000000002
32	1 12	1 14	1 4	1 2	0.011706600000000001
33	1 14	1 16	1 4	1 2	0.006993025
34	1 16	1 18	1 4	1 2	0.004242515
35	1 18	1 20	1 4	1 2	0.00320607
36	1 7	1 10	1 4	1 1	0.111965
37	1 10	1 13	1 4	1 1	0.03090685
38	1 13	1 16	1 4	1 1	0.014215499999999999
39	1 16	1 19	1 4	1 1	0.008143845
40	1 19	1 22	1 4	1 1	0.00575636
41	1 25	1 28	1 4	1 1	0.002686395
42	1 6	1 7	1 5	1 4	1.5441850000000001
43	1 7	1 8	1 5	1 4	0.38472850000000003
44	1 8	1 9	1 5	1 4	0.1761845
45	1 9	1 10	1 5	1 4	0.10335050000000001
46	1 10	1 11	1 5	1 4	0.0651303
47	1 11	1 12	1 5	1 4	0.0477544
48	1 12	1 13	1 5	1 4	0.033201049999999996
49	1 7	1 9	1 5	1 3	0.6271745
50	1 9	1 11	1 5	1 3	0.1902145
51	1 11	1 13	1 5	1 3	0.09176145
52	1 13	1 15	1 5	1 3	0.040791
53	1 15	1 17	1 5	1 3	0.0199328
54	1 17	1 19	1 5	1 3	0.0110614
55	1 19	1 21	1 5	1 3	0.009038589999999999
56	1 8	1 11	1 5	1 2	0.40407099999999996
57	1 11	1 14	1 5	1 2	0.122528
58	1 14	1 17	1 5	1 2	0.03966765
59	1 17	1 20	1 5	1 2	0.0176998
60	1 20	1 23	1 5	1 2	0.01167495
61	1 23	1 26	1 5	1 2	0.00757354
62	1 26	1 29	1 5	1 2	0.005403125
63	1 9	1 13	1 5	1 1	0.3001865
64	1 13	1 17	1 5	1 1	0.06942775000000001
65	1 17	1 21	1 5	1 1	0.02538425
66	1 21	1 25	1 5	1 1	0.0125263
67	1 25	1 29	1 5	1 1	0.00855852
68	1 29	1 33	1 5	1 1	0.00626799
69	1 33	1 37	1 5	1 1	0.004876995
70	1 7	1 8	1 6	1 5	0.9819225
71	1 8	1 9	1 6	1 5	0.1605655
72	1 9	1 10	1 6	1 5	0.06684129999999999
73	1 10	1 11	1 6	1 5	0.033968700000000004
74	1 11	1 12	1 6	1 5	0.02382305
75	1 12	1 13	1 6	1 5	0.015201099999999999
76	1 13	1 14	1 6	1 5	0.00907239
77	1 8	1 10	1 6	1 4	0.507209
78	1 10	1 12	1 6	1 4	0.1701725
79	1 12	1 14	1 6	1 4	0.07870465
80	1 14	1 16	1 6	1 4	0.03353415
81	1 16	1 18	1 6	1 4	0.0163064
