5336
1	1 75	1 73	1 77	1 79	0.11279149999999999
2	1 73	1 71	1 77	1 79	0.0103072
3	1 71	1 69	1 77	1 79	0.0025973100000000002
4	1 69	1 67	1 77	1 79	0.00125094
5	1 65	1 80	1 77	1 79	0.000442082
6	1 73	1 71	1 75	1 77	0.1037795
7	1 71	1 69	1 75	1 77	0.0096096
8	1 69	1 67	1 75	1 77	0.0031202799999999996
9	1 67	1 65	1 75	1 77	0.00124835
10	1 65	1 80	1 75	1 77	0.0008066544999999999
11	1 80	1 78	1 75	1 77	0.000499068
12	1 71	1 67	1 75	1 79	0.01667335
13	1 67	1 80	1 75	1 79	0.0030586249999999997
14	1 80	1 76	1 75	1 79	0.00120346
15	1 76	1 72	1 75	1 79	0.0005566964999999999
16	1 95	1 91	1 75	1 79	0.00010828675000000001
17	1 71	1 69	1 73	1 75	0.0821283
18	1 69	1 67	1 73	1 75	0.009682705
19	1 67	1 65	1 73	1 75	0.002642345
20	1 65	1 80	1 73	1 75	0.001291505
21	1 80	1 78	1 73	1 75	0.0006713649999999999
22	1 78	1 76	1 73	1 75	0.0003409919999999999
23	1 76	1 74	1 73	1 75	0.00028822950000000004
24	1 69	1 65	1 73	1 77	0.016664850000000002
25	1 65	1 78	1 73	1 77	0.00325903
26	1 78	1 74	1 73	1 77	0.00119629
27	1 74	1 70	1 73	1 77	0.0005557
28	1 67	1 78	1 73	1 79	0.008496645
29	1 78	1 72	1 73	1 79	0.001840185
30	1 91	1 85	1 73	1 79	0.0002894375
31	1 69	1 67	1 71	1 73	0.09417980000000001
32	1 67	1 65	1 71	1 73	0.00973158
33	1 65	1 80	1 71	1 73	0.0032203649999999998
34	1 80	1 78	1 71	1 73	0.001504385
35	1 78	1 76	1 71	1 73	0.0009374415
36	1 74	1 72	1 71	1 73	0.00037013650000000003
37	1 67	1 80	1 71	1 75	0.01682775
38	1 80	1 76	1 71	1 75	0.003482675
39	1 76	1 72	1 71	1 75	0.001239455
40	1 72	1 68	1 71	1 75	0.000503932
41	1 95	1 91	1 71	1 75	0.0002238215
42	1 65	1 76	1 71	1 77	0.009548899999999999
43	1 76	1 70	1 71	1 77	0.002067055
44	1 70	1 95	1 71	1 77	0.000768293
45	1 95	1 89	1 71	1 77	0.0003710355
46	1 80	1 72	1 71	1 79	0.0065314399999999995
47	1 72	1 95	1 71	1 79	0.001511735
48	1 96	1 88	1 71	1 79	0.000823519
49	1 67	1 65	1 69	1 71	0.0706869
50	1 65	1 80	1 69	1 71	0.00963458
51	1 80	1 78	1 69	1 71	0.00304165
52	1 78	1 76	1 69	1 71	0.001255715
53	1 72	1 70	1 69	1 71	0.00036568150000000003
54	1 65	1 78	1 69	1 73	0.017181000000000002
55	1 78	1 74	1 69	1 73	0.0032167149999999998
56	1 74	1 70	1 69	1 73	0.0012898599999999999
57	1 89	1 85	1 69	1 73	0.00020794649999999999
58	1 80	1 74	1 69	1 75	0.00910402
59	1 74	1 68	1 69	1 75	0.002138975
60	1 92	1 86	1 69	1 75	0.000151144
61	1 78	1 70	1 69	1 77	0.00617334
62	1 70	1 93	1 69	1 77	0.00145097
63	1 93	1 85	1 69	1 77	0.000639257
64	1 85	1 94	1 69	1 77	0.0004394305
65	1 87	1 94	1 69	1 79	0.0005576540000000001
66	1 94	1 84	1 69	1 79	0.0004317675
67	1 65	1 80	1 67	1 69	0.09509899999999999
68	1 80	1 78	1 67	1 69	0.0112155
69	1 78	1 76	1 67	1 69	0.0030566400000000002
70	1 76	1 74	1 67	1 69	0.00127136
71	1 74	1 72	1 67	1 69	0.0008802020000000001
72	1 80	1 76	1 67	1 71	0.018596599999999998
73	1 76	1 72	1 67	1 71	0.00314063
74	1 72	1 68	1 67	1 71	0.001326055
75	1 68	1 95	1 67	1 71	0.0006228655
76	1 78	1 72	1 67	1 73	0.009134565
77	1 76	1 68	1 67	1 75	0.006221895
78	1 68	1 91	1 67	1 75	0.0015508850000000001
79	1 74	1 95	1 67	1 77	0.004827145
80	1 95	1 85	1 67	1 77	0.00115822
81	1 85	1 92	1 67	1 77	0.000544442
82	1 72	1 91	1 67	1 79	0.003967015
83	1 96	1 84	1 67	1 79	0.000531338
84	1 84	1 231	1 67	1 79	0.000150983
85	1 80	1 78	1 65	1 67	0.0885544
86	1 78	1 76	1 65	1 67	0.009104345
87	1 76	1 74	1 65	1 67	0.00268805
88	1 74	1 72	1 65	1 67	0.00132039
89	1 78	1 74	1 65	1 69	0.016447049999999998
90	1 74	1 70	1 65	1 69	0.003172085
91	1 93	1 89	1 65	1 69	0.0004252825
92	1 76	1 70	1 65	1 71	0.008565945
93	1 70	1 95	1 65	1 71	0.001976265
94	1 95	1 89	1 65	1 71	0.0007582330000000001
95	1 83	1 94	1 65	1 71	0.000306696
96	1 89	1 81	1 65	1 73	0.000559147
97	1 72	1 93	1 65	1 75	0.0047409800000000005
98	1 93	1 83	1 65	1 75	0.0010550429999999999
99	1 90	1 227	1 65	1 75	0.00034463450000000003
100	1 70	1 89	1 65	1 77	0.00400083
101	1 89	1 94	1 65	1 77	0.0010502145
102	1 124	1 119	1 65	1 77	4.53029e-05
103	1 119	1 100	1 65	1 77	6.393535e-05
104	1 68	1 85	1 65	1 79	0.0034135600000000004
105	1 78	1 76	1 80	1 65	0.0895949
106	1 76	1 74	1 80	1 65	0.00925989
107	1 74	1 72	1 80	1 65	0.002831475
108	1 72	1 70	1 80	1 65	0.00142334
109	1 70	1 68	1 80	1 65	0.000665382
110	1 76	1 72	1 80	1 67	0.01619155
111	1 72	1 68	1 80	1 67	0.00338858
112	1 68	1 95	1 80	1 67	0.001227415
113	1 95	1 91	1 80	1 67	0.0006234324999999999
114	1 74	1 68	1 80	1 69	0.008996589999999999
115	1 68	1 93	1 80	1 69	0.00207831
116	1 72	1 95	1 80	1 71	0.0063853650000000005
117	1 95	1 87	1 80	1 71	0.00161177
118	1 70	1 91	1 80	1 73	0.0049161050000000005
119	1 91	1 81	1 80	1 73	0.00119438
120	1 68	1 87	1 80	1 75	0.004104795
121	1 87	1 92	1 80	1 75	0.000987478
122	1 92	1 227	1 80	1 75	0.0005554295
123	1 126	1 121	1 80	1 75	0.0001408135
124	1 86	1 231	1 80	1 77	0.0004496875
125	1 121	1 104	1 80	1 77	0.00021108
126	1 95	1 96	1 80	1 79	0.0031212
127	1 96	1 227	1 80	1 79	0.0009998189999999999
128	1 227	1 118	1 80	1 79	0.0002997385
129	1 118	1 117	1 80	1 79	0.00031867800000000003
130	1 76	1 74	1 78	1 80	0.0850991
131	1 74	1 72	1 78	1 80	0.009664095000000001
132	1 72	1 70	1 78	1 80	0.00333548
133	1 70	1 68	1 78	1 80	0.0013735449999999999
134	1 74	1 70	1 78	1 65	0.0174034
135	1 93	1 89	1 78	1 65	0.0006658675000000001
136	1 91	1 85	1 78	1 67	0.0008482559999999999
137	1 96	1 90	1 78	1 67	0.00033034899999999996
138	1 70	1 93	1 78	1 69	0.006633935
139	1 93	1 85	1 78	1 69	0.0015641
140	1 85	1 94	1 78	1 69	0.000368289
141	1 228	1 230	1 78	1 69	2.861565e-05
142	1 68	1 89	1 78	1 71	0.005210315
143	1 89	1 96	1 78	1 71	0.0011852
144	1 126	1 119	1 78	1 71	0.0001349365
145	1 85	1 90	1 78	1 73	0.0010455745
146	1 228	1 116	1 78	1 73	0.000311287
147	1 128	1 123	1 78	1 73	0.00021972000000000002
148	1 123	1 104	1 78	1 73	0.000108683
149	1 95	1 81	1 78	1 75	0.00343154
150	1 81	1 84	1 78	1 75	0.000937254
151	1 230	1 126	1 78	1 75	0.0002651765
152	1 93	1 94	1 78	1 77	0.003069565
153	1 94	1 228	1 78	1 77	0.0009725875
154	1 91	1 90	1 78	1 79	0.002740785
155	1 128	1 98	1 78	1 79	0.00022571499999999998
156	1 74	1 72	1 76	1 78	0.07866780000000001
157	1 72	1 70	1 76	1 78	0.01079005
158	1 70	1 68	1 76	1 78	0.00301458
159	1 95	1 93	1 76	1 78	0.0005314275000000001
160	1 93	1 91	1 76	1 78	0.0003536435
161	1 72	1 68	1 76	1 80	0.0183936
162	1 68	1 95	1 76	1 80	0.00365094
163	1 95	1 91	1 76	1 80	0.001367465
164	1 91	1 87	1 76	1 80	0.000734733
165	1 70	1 95	1 76	1 65	0.009502845
166	1 95	1 89	1 76	1 65	0.002347535
167	1 89	1 83	1 76	1 65	0.000893937
168	1 82	1 229	1 76	1 65	0.0001884065
169	1 68	1 91	1 76	1 67	0.006976705
170	1 91	1 83	1 76	1 67	0.001687435
171	1 83	1 92	1 76	1 67	0.000550299
172	1 92	1 84	1 76	1 67	0.0003257645
173	1 87	1 94	1 76	1 69	0.00105655
174	1 95	1 83	1 76	1 71	0.004162260000000001
175	1 229	1 118	1 76	1 71	0.00025556
176	1 113	1 125	1 76	1 71	0.000159224
177	1 125	1 106	1 76	1 71	7.176980000000001e-05
178	1 93	1 96	1 76	1 73	0.00331921
179	1 96	1 82	1 76	1 73	0.0009039790000000001
180	1 114	1 128	1 76	1 73	0.000177994
181	1 128	1 125	1 76	1 73	4.854485000000001e-05
182	1 125	1 108	1 76	1 73	5.02587e-05
183	1 91	1 92	1 76	1 75	0.0030389049999999997
184	1 92	1 229	1 76	1 75	0.0008788645
185	1 229	1 122	1 76	1 75	0.000371558
186	1 106	1 105	1 76	1 75	8.33737e-05
187	1 89	1 88	1 76	1 77	0.0033672399999999996
188	1 87	1 84	1 76	1 79	0.002956215
189	1 84	1 118	1 76	1 79	0.0008129755
190	1 72	1 70	1 74	1 76	0.07689270000000001
191	1 70	1 68	1 74	1 76	0.008493335
192	1 95	1 93	1 74	1 76	0.0007553015000000001
193	1 93	1 91	1 74	1 76	0.0004810275
194	1 91	1 89	1 74	1 76	0.0003055395
195	1 93	1 89	1 74	1 78	0.00136375
196	1 89	1 85	1 74	1 78	0.0005415425000000001
197	1 85	1 81	1 74	1 78	0.00024721950000000003
198	1 68	1 93	1 74	1 80	0.009399755
199	1 93	1 87	1 74	1 80	0.00206719
200	1 87	1 81	1 74	1 80	0.0007545255
201	1 81	1 92	1 74	1 80	0.0002809625
202	1 89	1 81	1 74	1 65	0.001515925
203	1 81	1 90	1 74	1 65	0.000582168
204	1 232	1 116	1 74	1 65	0.0002411135
205	1 95	1 85	1 74	1 67	0.0051937649999999995
206	1 85	1 92	1 74	1 67	0.001229725
207	1 92	1 82	1 74	1 67	0.0005769130000000001
208	1 231	1 120	1 74	1 67	0.0002985255
209	1 93	1 81	1 74	1 69	0.004199774999999999
210	1 81	1 86	1 74	1 69	0.0011318399999999998
211	1 232	1 120	1 74	1 69	0.00035484449999999995
212	1 115	1 127	1 74	1 69	0.000150318
213	1 91	1 94	1 74	1 71	0.003348075
214	1 94	1 227	1 74	1 71	0.0010188850000000002
215	1 227	1 116	1 74	1 71	0.0005529075
216	1 116	1 113	1 74	1 71	0.000305117
217	1 89	1 90	1 74	1 73	0.003064185
218	1 90	1 232	1 74	1 73	0.0009139945
219	1 87	1 86	1 74	1 75	0.00268037
