19806
1	1 2	1 1	1 3	1 4	0.31944150000000004	0.016394400173998392
2	1 2	1 1	1 4	1 5	0.0837552	0.030182344850336464
3	1 2	1 1	1 5	1 6	0.037695900000000004	0.014934471644349311
4	1 2	1 1	1 6	1 7	0.017328299999999998	0.007687660426670023
5	1 2	1 1	1 7	1 8	0.009736584999999999	0.008836953131199855
6	1 2	1 1	1 8	1 9	0.006322405	0.0016811765778494173
7	1 2	1 1	1 9	1 10	0.00425532	0.0028828836209280747
8	1 2	1 1	1 10	1 11	0.00339446	0.0034295265235658157
9	1 3	1 2	1 4	1 5	0.3185705	0.012410769991483765
10	1 3	1 2	1 5	1 6	0.0836246	0.00783712661157534
11	1 3	1 2	1 6	1 7	0.03049655	0.003408121309931039
12	1 3	1 2	1 7	1 8	0.01493315	0.0011321177240208953
13	1 3	1 2	1 8	1 9	0.008668345000000001	0.008777383176534854
14	1 3	1 2	1 9	1 10	0.005751050000000001	0.007927291208912113
15	1 3	1 2	1 10	1 11	0.003976435	0.0140818608716139
16	1 3	1 2	1 11	1 12	0.00295954	0.009056299405809194
17	1 3	1 1	1 5	1 7	0.169587	0.007277103734325313
18	1 3	1 1	1 7	1 9	0.03939595	0.0022699546044702835
19	1 3	1 1	1 9	1 11	0.017314450000000002	0.0061562110877423455
20	1 3	1 1	1 11	1 13	0.009003035	0.004405622077856096
21	1 3	1 1	1 13	1 15	0.004250439999999999	0.002935331435609489
22	1 3	1 1	1 15	1 17	0.00243201	0.0026314141909209612
23	1 4	1 3	1 5	1 6	0.406485	0.03521695965262246
24	1 4	1 3	1 6	1 7	0.08976434999999999	0.03211051638122021
25	1 4	1 3	1 7	1 8	0.03378905	0.026101644598990423
26	1 4	1 3	1 8	1 9	0.017420900000000003	0.007465458683123441
27	1 4	1 3	1 9	1 10	0.0105194	0.0040556749271727695
28	1 4	1 3	1 10	1 11	0.0066913649999999995	0.004699191622279042
29	1 4	1 3	1 11	1 12	0.004874375	0.0004896453149961902
30	1 4	1 3	1 12	1 13	0.003088475	0.001916561346526133
31	1 4	1 2	1 6	1 8	0.169217	0.021873060401365555
32	1 4	1 2	1 8	1 10	0.04217625	0.002463011823469773
33	1 4	1 2	1 10	1 12	0.0184057	0.006518754851227475
34	1 4	1 2	1 12	1 14	0.008936265	0.0015004891477429264
35	1 4	1 2	1 14	1 16	0.00420181	0.0021622456625056173
36	1 4	1 2	1 16	1 18	0.00274007	0.002656252093983253
37	1 4	1 2	1 18	1 20	0.002010615	0.0018193349511114287
38	1 4	1 2	1 20	1 22	0.001117875	0.001485998526814436
39	1 4	1 1	1 7	1 10	0.1110825	0.010575343432507408
40	1 4	1 1	1 10	1 13	0.03086565	0.00475076758471539
41	1 4	1 1	1 13	1 16	0.0104567	0.0011150126946782625
42	1 4	1 1	1 16	1 19	0.00589814	0.0017869365799640475
43	1 4	1 1	1 25	1 28	0.0008090115000000001	0.0017005769816301791
44	1 5	1 4	1 6	1 7	0.394897	0.05318621124949431
45	1 5	1 4	1 7	1 8	0.08452215	0.022876449885638583
46	1 5	1 4	1 8	1 9	0.03442895	0.01053773663588413
47	1 5	1 4	1 9	1 10	0.01828985	0.014574446280211319
48	1 5	1 4	1 10	1 11	0.01070175	0.021647378305680184
49	1 5	1 4	1 11	1 12	0.007402015	0.013636025817789464
50	1 5	1 4	1 12	1 13	0.00447573	0.010395035498080246
51	1 5	1 4	1 13	1 14	0.0033488199999999997	0.008516301726180137
52	1 5	1 3	1 7	1 9	0.1705885	0.016920774485626414
53	1 5	1 3	1 9	1 11	0.045992	0.010836923996601688
54	1 5	1 3	1 11	1 13	0.0197706	0.007105783931701683
55	1 5	1 3	1 13	1 15	0.009525255	0.004785267966170476
